Id,OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBuyBaseAssetVolume,TakerBuyQuoteAssetVolume,Unused
168,1517356800000,10230.00,10425.85,9700.00,10285.10,18015.96,1517443199999,181644207.11,201422,8782.58,88609272.64,
169,1517443200000,10285.10,10335.00,8750.99,9224.52,33564.76,1517529599999,317636345.98,316020,15430.00,146130725.87,
170,1517529600000,9224.52,9250.00,8010.02,8873.03,49971.63,1517615999999,434236483.70,453411,23113.50,201292749.52,
171,1517616000000,8873.03,9473.01,8229.00,9199.96,28725.00,1517702399999,256834729.06,327519,14182.84,127068644.50,
172,1517702400000,9199.96,9368.00,7930.00,8184.81,32014.31,1517788799999,274912288.42,356134,13805.30,118884553.21,
173,1517788800000,8179.99,8382.80,6625.00,6939.99,63403.18,1517875199999,471166218.71,533510,29857.36,222022401.02,
174,1517875200000,6939.63,7878.00,6000.01,7652.14,100201.50,1517961599999,684364276.37,785996,49565.02,339117633.41,
175,1517961600000,7655.02,8476.00,7150.01,7599.00,60778.46,1518047999999,477935038.81,514893,30084.84,237137973.45,
176,1518048000000,7599.00,7844.00,7572.09,7784.02,1521.54,1518049694788,11770168.04,12417,844.26,6532638.64,
177,1518134400000,7789.90,8738.00,7789.90,8683.92,20482.91,1518220799999,173348469.81,273091,10404.04,88117562.12,
178,1518220800000,8683.93,9065.78,8120.00,8533.98,49381.51,1518307199999,423411421.93,537578,24506.72,210253734.38,
179,1518307200000,8533.99,8549.00,7726.53,8063.88,45025.19,1518393599999,366966437.25,524626,23180.34,188849914.35,
180,1518393600000,8063.82,8989.00,8053.00,8903.00,41987.85,1518479999999,362440826.99,477660,20916.95,180528457.55,
181,1518480000000,8903.00,8950.00,8351.00,8539.90,35454.97,1518566399999,305165143.70,401893,16558.46,142530987.44,
182,1518566400000,8535.17,9489.60,8533.00,9449.99,40811.95,1518652799999,370126692.73,514897,20508.46,185896385.03,
183,1518652800000,9449.98,10219.50,9301.50,10000.09,52427.60,1518739199999,512388484.73,608349,25805.10,252255267.88,
184,1518739200000,10000.89,10323.37,9666.00,10159.98,38161.21,1518825599999,381103299.22,405310,18313.00,182947133.89,
185,1518825600000,10156.07,11075.07,10050.00,11039.55,41882.11,1518911999999,446012696.17,413585,21147.62,225229265.73,
186,1518912000000,11039.55,11274.00,10080.00,10383.43,61137.38,1518998399999,649423311.31,537534,29593.86,314511909.49,
187,1518998400000,10375.01,11250.00,10270.33,11153.00,40831.42,1519084799999,443766562.68,366882,20619.88,224193685.44,
188,1519084800000,11147.11,11786.01,11100.59,11200.99,48153.35,1519171199999,551573232.24,432197,24211.49,277480902.01,
189,1519171200000,11195.07,11304.03,10200.00,10437.60,68113.82,1519257599999,731537130.49,542340,32338.07,347436564.67,
190,1519257600000,10439.02,10933.44,9679.00,9811.04,67060.17,1519343999999,682006373.87,506273,33029.30,336067441.63,
191,1519344000000,9815.55,10435.00,9570.19,10131.04,57202.70,1519430399999,571800753.47,467480,28031.01,280171693.07,
192,1519430400000,10131.04,10496.97,9352.00,9694.51,40888.16,1519516799999,405618586.65,337918,18646.87,185164883.45,
193,1519516800000,9694.51,9847.00,9274.80,9590.00,28373.52,1519603199999,271286599.13,233567,13956.66,133525539.45,
194,1519603200000,9590.00,10444.32,9350.00,10324.00,34878.29,1519689599999,347559259.74,285276,17045.77,169936003.39,
195,1519689600000,10321.00,10870.00,10121.00,10569.04,30705.39,1519775999999,324295371.14,240542,15187.08,160450471.46,
196,1519776000000,10584.33,11098.00,10300.00,10326.76,30800.98,1519862399999,327914696.13,277886,14412.85,153537202.10,
